(960, 540)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(383, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
