(960, 540)
(960, 540)
(472, 322)
(307, 652)
(397, 975)
(607, 1177)
(960, 1207)
(1327, 1155)
(1485, 997)
(1545, 727)
(1522, 367)
(1357, 105)
(1042, -15)
(652, 37)
(1417, 960)
(1702, 1132)
(1800, 982)
(1972, 1095)
(1950, 1080)
(1815, 847)
(1500, 1087)
(1042, 967)
(817, 1102)
(465, 922)
(127, 1110)
(1856.000244, 240.000061)
(511, 659)
(768, 299)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(1216, 300)
(1216, 540)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(960, 300)
(832, 120)
(1792.000122, 480.000061)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(640, 60)
(1536, 180)
(1600, 600)
(1216, 780)
(960, 780)
(704, 780)
(704, 540)
(704, 300)
(1344, 60)
(1024, 0)
(1728.000244, 240.000031)
