0:03.789,3.789
0:06.315,6.315
0:08.842,8.842
0:11.368,11.368
0:13.894,13.894
0:16.421,16.421
0:18.947,18.947
0:21.458,21.458
0:24.000,24
0:26.526,26.526
0:29.052,29.052
0:31.578,31.578
0:34.105,34.105
0:36.631,36.631
0:39.157,39.157
0:41.684,41.684
0:44.210,44.21
0:46.736,46.736
0:49.263,49.263
0:51.789,51.789
0:54.315,54.315
0:56.842,56.842
0:59.368,59.368
1:01.894,61.894
1:04.421,64.421
1:06.947,66.947
1:09.473,69.473
1:12.000,72
1:14.526,74.526
1:17.052,77.052
1:19.578,79.578
1:22.105,82.105
1:24.631,84.631
1:27.157,87.157
1:29.684,89.684
1:32.210,92.21
1:34.736,94.736
1:37.263,97.263
1:39.789,99.789
1:42.315,102.315
1:44.842,104.842
1:47.368,107.368
1:49.894,109.894
1:52.421,112.421
1:54.947,114.947
1:57.473,117.473
2:00.000,120
2:02.526,122.526
2:05.052,125.052
2:07.578,127.578
2:10.105,130.105
2:12.631,132.631
2:15.157,135.157
2:17.684,137.684
2:20.210,140.21
2:22.736,142.736
2:25.263,145.263
2:27.789,147.789
2:30.315,150.315
2:32.842,152.842
2:35.368,155.368
2:37.894,157.894
