(960, 180)
(960, 900)
(960, 300)
(960, 540)
(640, 540)
(1152, 540)
(640, 540)
(1152, 540)
(640, 540)
(1152, 540)
(960, 840)
(960, 240)
(640, 540)
(960, 540)
(640, 540)
(1152, 540)
(960, 420)
(960, 300)
(1024, 720)
(1664, 840)
(1088.000244, 540.000061)
(832, 540)
(1344, 540)
(640, 540)
(1152, 540)
(640, 540)
(1152, 540)
(640, 540)
(1152, 540)
(960, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768.000061, 540.000061)
(1152, 540)
(1536, 540)
(960, -119.999939)
(960.000061, 60.000061)
(960, 540)
(832.000122, 900)
(1919.999878, 900)
(895.999939, 540.000061)
(1024, 780.000061)
(1536.000122, 540.000061)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(768, 720)
(1024, 720)
(1280, 720)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
(384, 540)
(768, 540)
(1152, 540)
(1536, 540)
